"URL","Puesto","Empresa","Lugar","Direccion","Distancia","Duracion","ZBE","Publicacion","Modalidad","Tipo","Solicitud","Experiencia","Resumen","Tipo_clasificacion","Clasificacion"
"https://www.linkedin.com/comm/jobs/view/4412745107/","Junior Data Scientist","Joinrs","España","N/A","N/A","N/A","N/A","","En remoto","Jornada completa","Se aceptan solicitudes","N/A","Aquí tienes un resumen claro y conciso de la oferta de empleo para **Junior Data Scientist** en **Joinrs**: ### **Descripción del puesto** Joinrs busca talento junior para integrarse en su equipo de Tecnología y contribuir al desarrollo de su plataforma de IA, que conecta a recién graduados con oportunidades laborales en todo el mundo. ### **Funciones principales** * **IA y Machine Learning:** Desarrollo, implementación y prueba de algoritmos para el modelo de IA de la plataforma. * **Análisis y Datos:** Modelado de datos, creación de modelos predictivos y generación de informes clave. * **Visualización:** Diseño de paneles interactivos (dashboards) para comunicar datos a equipos e inversores. * **Innovación:** Participación en sesiones de *brainstorming* tecnológico y optimización de procesos de negocio. * **Formación:** Aprendizaje continuo sobre las últimas tendencias en Ciencia de Datos e IA. ### **Requisitos** * Perfil profesional Junior con interés en el sector tecnológico. * Interés por el análisis de datos, el aprendizaje automático y la inteligencia artificial. * Capacidad de trabajo en equipo y proactividad para aprender y crecer profesionalmente. ### **Beneficios** * **Remuneración:** Salario anual de 24.000€ a 28.000€, con revisiones salariales semestrales vinculadas al desempeño. * **Flexibilidad:** Modalidad 100% remota (con opción de asistir a oficinas dotadas de áreas recreativas). * **Equipo:** MacBook de última generación incluido. * **Desarrollo:** Plan de formación continua, tutoría personalizada y acceso a plataformas de aprendizaje. * **Cultura:** Entorno dinámico, con actividades de *team building* y un fuerte componente de impacto social. ### **Proceso de selección** 1. **Revisión de CV:** (Respuesta estimada en 20 días). 2. **Entrevista telefónica:** (15 minutos con RR.HH.). 3. **Entrevista final:** (45 minutos por videollamada con RR.HH. y el supervisor directo). **¿Cómo aplicar?** Envía tu CV a través del portal de Joinrs; el equipo de selección se pondrá en contacto contigo si tu perfil encaja con sus vacantes actuales o futuras.","Empresa final","**Clasificación:** Empresa final **Justificación:** La oferta especifica claramente que el contrato es para trabajar internamente en el equipo de tecnología de ""Joinrs"" (el producto propio de la empresa, específicamente su modelo de IA). No se menciona la prestación de servicios a terceros ni consultoría externa; por el contrario, hacen énfasis en el desarrollo de sus propias herramientas, su cultura corporativa, sus oficinas, sus beneficios sociales y su propia marca como startup."
"https://www.linkedin.com/comm/jobs/view/4410629539/","Business Systems & Data Engineer","ABEI ENERGY","Madrid, Comunidad de Madrid, España","C. del Monte Esquinza, 24, Chamberí, 28010 Madrid, Spain","55.2","46.7","True","","Madrid (Híbrido)","Jornada completa","Se aceptan solicitudes","N/A","Aquí tienes un resumen ejecutivo de la oferta de **ABEI ENERGY**: ### **Puesto: Business Systems & Data Engineer** ABEI ENERGY busca un ingeniero técnico para gestionar su plataforma corporativa (CRM/XRM), garantizando la integridad de los datos, la automatización de procesos y el desarrollo de integraciones sobre el ecosistema Microsoft. --- ### **Requisitos principales** * **Técnicos:** * Sólidos conocimientos en **SQL** (modelado de datos) y **Python** (automatización, ETL). * Experiencia en **APIs** (REST, AzureAD) e ingeniería de software (control de versiones, documentación). * Uso avanzado y crítico de **IA** como herramienta de productividad. * **Valorable (Plus):** Experiencia en el ecosistema Microsoft (Dataverse, Dynamics 365, Power Platform), Business Central, Azure Data y Power BI. * **Competencias:** Proactividad, capacidad organizativa y excelentes habilidades de comunicación para traducir necesidades de negocio en soluciones técnicas. ### **Funciones principales** * **Gestión de datos:** Diseñar modelos, asegurar la calidad de la información y gestionar SQL Server/Dataverse. * **Desarrollo y Automatización:** Crear flujos de trabajo, automatizaciones (Power Automate/lógica de negocio) y scripts de integración. * **Operaciones:** Gestionar integraciones entre sistemas (Business Central, SharePoint, Teams), supervisar recursos en Azure y coordinar proveedores técnicos. * **Estrategia:** Colaborar con el CTO en la priorización de iniciativas y asegurar la disponibilidad de datos para analítica (Power BI). ### **Beneficios** * **Remuneración:** Salario competitivo + bonus anual por objetivos. * **Flexibilidad:** Jornada laboral flexible y plan de retribución flexible (comidas, transporte, etc.). * **Desarrollo:** Formación continua, programas internos de aprendizaje y exposición a proyectos internacionales de energías renovables. * **Cultura:** Entorno colaborativo, innovador y enfocado en la sostenibilidad global.","Empresa final","**Clasificación:** Empresa final **Justificación:** La oferta corresponde a una empresa de energías renovables (ABEI ENERGY) que busca contratar personal para su estructura interna. Esto se confirma mediante frases como ""te invitamos a ser parte de la revolución energética"", ""plataforma corporativa de gestión de proyectos y CRM/XRM"" y la referencia a ""programas internos de formación"". Además, el rol implica ""coordinar proveedores"" y ""apoyar al CTO"", funciones propias de un departamento interno y no de una consultora que presta servicios a terceros."
"https://www.linkedin.com/comm/jobs/view/4414569286/","Data Engineer Databricks","Logicalis Spain","España","N/A","N/A","N/A","N/A","","En remoto","Jornada completa","Se aceptan solicitudes","N/A","Aquí tienes el resumen de la oferta para **Data Engineer en Logicalis Spain**: ### **Resumen del puesto** Logicalis busca un Data Engineer para integrarse en su equipo de Data & Analytics, trabajando en proyectos de ingeniería y arquitectura de datos para un cliente importante. ### **Funciones principales** * Desarrollo y mantenimiento de **pipelines de datos en Databricks**. * Gestión de procesos **ETL/ELT** (con uso de SSIS). * Trabajo sobre entorno **Azure** (Data Factory, Storage, etc.). * Creación y optimización de consultas SQL. * Apoyo en modelado para **Power BI** (deseable). * Participación en un sistema de **guardias** (remuneradas con 4.000€ - 5.000€ extra/año). ### **Requisitos** * **Indispensable:** Nivel alto en Databricks y sólidos conocimientos de SQL. * **Necesario:** Nivel medio en Azure. * **Actitud:** Proactividad y disposición para trabajar con SSIS. * **Valorable:** Conocimientos en Power BI. ### **Beneficios** * **Flexibilidad:** Trabajo 100% remoto (con visitas puntuales a Madrid). * **Estabilidad:** Contrato indefinido con oportunidades de crecimiento profesional. * **Compensación:** Salario competitivo + retribución flexible (restaurante, transporte, guardería) + pago extra por guardias. * **Bienestar y Formación:** Seguro médico, GYMPASS, plan de formación/certificaciones oficiales y portal de descuentos. * **Entorno:** Incorporación a una empresa líder con ambiente colaborativo.","Outsourcing","**Clasificación:** Outsourcing **Justificación:** La oferta indica explícitamente que el puesto es ""para incorporarse a un servicio consolidado de Logicalis en un importante cliente"". Esto define un modelo de prestación de servicios a terceros, donde el empleado forma parte de la plantilla de Logicalis (la empresa hace el contrato) pero desempeña su labor integrándose en los proyectos o entornos técnicos de un cliente externo."
"https://www.linkedin.com/comm/jobs/view/4412765632/","Data Analyst | Data Engineer | Data Scientist","Joinrs","España","N/A","N/A","N/A","N/A","","En remoto","Jornada completa","Se aceptan solicitudes","N/A","Aquí tienes un resumen claro y conciso de la oferta: **Oportunidades de Empleo para Perfiles Junior en el Sector de Datos** Joinrs busca estudiantes y recién graduados en áreas STEM (Matemáticas, Estadística, Física, Ingeniería y Data Science) para conectarles con empresas de primer nivel en España y Europa. * **Puestos disponibles:** Diversos roles junior, internships y programas de graduados (Data Scientist, Data Engineer, Data Analyst, entre otros). * **Requisitos:** Perfil junior/estudiante o recién graduado con formación técnica (STEM). * **Funciones:** Dependerán de la posición específica seleccionada dentro de la plataforma (análisis de datos, ingeniería, investigación, etc.). * **Beneficios y ventajas:** * **Matching automático:** Sistema que conecta tu perfil con las vacantes más afines. * **Acceso exclusivo:** Oportunidades ocultas que no suelen publicarse en portales tradicionales. * **Optimización:** Ayuda para mejorar tu CV y perfil de cara a los reclutadores. * **Flexibilidad:** Modalidades presenciales, híbridas y en remoto. **Cómo aplicar:** Regístrate en la plataforma [Joinrs] para crear tu perfil y acceder instantáneamente a las ofertas disponibles.","Headhunting (Plataforma de intermediación / Portal de empleo)","**Clasificación:** Headhunting (Plataforma de intermediación / Portal de empleo) **Justificación:** La oferta no corresponde a una empresa que contrate directamente para sí misma ni para proyectos de terceros, sino a una plataforma (""Joinrs"") que actúa como intermediario. La oferta menciona explícitamente que su función es ofrecer un ""Matching automático entre tu perfil y las empresas"", ""Acceso a roles que a menudo no son públicos"" y que en su plataforma encuentras ""decenas de posiciones activas"" en diversas empresas, lo que confirma que ellos funcionan como un canal de reclutamiento para terceros."
"https://www.linkedin.com/comm/jobs/view/4411147188/","Junior Business Analyst","vdSHOP","Madrid, Comunidad de Madrid, España","Av. de Europa, 1, Edificio B, 28108 Alcobendas, Madrid, Spain","55.5","40.2","False","","Híbrido","Jornada completa","Se aceptan solicitudes","1","Aquí tienes un resumen claro y conciso de la oferta: ### **Oferta: Junior Business Analyst en vdSHOP** **Descripción del rol:** Posición transversal enfocada en el análisis de datos para la toma de decisiones estratégicas, colaborando con los departamentos de operaciones, contenido y eCommerce. **Funciones principales:** * **Reporting:** Elaboración, mantenimiento y automatización de reportes operativos y comerciales. * **Análisis:** Generación de *insights*, seguimiento de KPIs y limpieza de datos. * **Dashboards:** Construcción y gestión de visualizaciones en Power BI. * **Optimización:** Mejora de procesos analíticos y soporte en presentaciones ejecutivas. **Requisitos:** * **Formación:** Grado en ADE, Economía, Ingeniería, Matemáticas, Estadística o afines. * **Experiencia:** 1-2 años en áreas de análisis, reporting o BI. * **Excel:** Nivel avanzado (Power Query, tablas dinámicas, fórmulas, modelado). * **Power BI:** Nivel intermedio/avanzado (DAX, visualización, modelado). * **Valorable:** Conocimientos de SQL. * **Soft Skills:** Perfil analítico, detallista, organizado y con mentalidad de mejora continua. **Beneficios:** * **Entorno:** Empresa en crecimiento dentro del sector eCommerce y tecnología. * **Desarrollo:** Aprendizaje continuo, exposición transversal y posibilidades reales de crecimiento interno. * **Flexibilidad:** Modelo de trabajo híbrido. * **Cultura:** Entorno dinámico y colaborativo orientado a la cultura del dato.","Empresa final","**Clasificación:** Empresa final **Justificación:** La oferta indica claramente que la incorporación es para trabajar ""en vdSHOP"", mencionando que se colaborará con los equipos internos de la compañía (operaciones, contenido, eCommerce y negocio). No se menciona a terceros ni clientes externos, y el enfoque es el desarrollo profesional interno (""crecimiento interno"", ""nuestro entorno"") dentro de la propia empresa."
"https://www.linkedin.com/comm/jobs/view/4393595501/","Data Scientist","Prima","Madrid, Comunidad de Madrid, España","Calle de Sta Engracia, 23, Chamberí, 28010 Madrid, Spain","55.0","47.1","True","","Híbrido","Jornada completa","Se aceptan solicitudes","2","Aquí tienes un resumen claro y conciso de la oferta de trabajo: ### **Oferta: Data Scientist (Pricing & Underwriting) – Prima** **Descripción del rol:** Prima busca un Data Scientist para su equipo en España con el objetivo de utilizar el análisis de datos y Machine Learning para definir estrategias de precios y suscripción de seguros de motor, asegurando competitividad y rentabilidad. --- ### **Funciones principales:** * Aplicar modelos de **Machine Learning y analítica avanzada** para la evaluación de riesgos y fijación de precios. * Analizar datos complejos para apoyar la toma de decisiones estratégicas. * Colaborar con equipos multidisciplinares para transformar insights en acciones de negocio reales. ### **Requisitos:** * **Formación:** Grado o posgrado en Matemáticas, Física, Ingeniería, Ciencia de Datos, Estadística o Informática. * **Experiencia:** Desde nivel recién graduado hasta 2 años en roles similares. * **Idiomas:** Inglés fluido (hablado y escrito). * **Habilidades técnicas (valorable):** Dominio de **Python y SQL**, experiencia en manejo de grandes volúmenes de datos y fundamentos sólidos de Machine Learning. * **Perfil:** Mentalidad analítica, curiosidad y capacidad de proponer soluciones innovadoras. ### **Beneficios:** * **Flexibilidad total:** Modelo híbrido (casa/oficina) y posibilidad de trabajar desde cualquier lugar hasta 30 días al año. * **Desarrollo profesional:** Acceso a recursos de aprendizaje, mentoría y planes de crecimiento personalizados. * **Bienestar:** Seguro médico privado, descuentos en gimnasios, programas de bienestar y soporte de salud mental. --- *Nota: La empresa enfatiza una cultura inclusiva y anima a postularse incluso si no se cumplen todos los requisitos técnicos al 100%.*","Empresa final","**Clasificación:** Empresa final **Justificación:** La oferta se refiere constantemente a ""Prima"" como el empleador directo y el responsable del producto. Frases como ""help us shape the future of motor insurance"", ""join our Spanish Pricing & Underwriting team"", y ""contribute directly to the company’s growth"" confirman que se busca personal para trabajar en los proyectos, productos y equipos propios de la aseguradora, y no para prestar servicios a terceros."
"https://www.linkedin.com/comm/jobs/view/4414226745/","JUNIOR PROCESS EXECUTION ANALYST","Santander","Boadilla del Monte, Comunidad de Madrid, España","Boadilla del Monte, Madrid, Spain","83.5","59.2","False","","Málaga (Híbrido)","Jornada completa","Se aceptan solicitudes","1","Aquí tienes un resumen claro y conciso de la oferta: ### **Puesto: Junior Process Execution Analyst (People & Culture)** * **Empresa:** Banco Santander * **Ubicación:** Ciudad Financiera (Boadilla del Monte, Madrid) --- ### **Funciones principales** * **Automatización:** Implementar soluciones digitales (Power Platform, IA) para optimizar procesos de Recursos Humanos y reducir tareas manuales. * **Gestión Operativa:** Dar soporte funcional al sistema **Workday**, incluyendo carga de datos (EIB), resolución de incidencias y cumplimiento de niveles de servicio (SLAs). * **Mejora Continua:** Analizar incidencias recurrentes y proponer mejoras en los flujos de trabajo basados en datos. * **Colaboración:** Trabajar de forma transversal con equipos de RRHH, Tecnología y Operaciones en entornos globales. --- ### **Requisitos imprescindibles** * **Experiencia:** 1–2 años en automatización de procesos, análisis de datos o soporte técnico en plataformas corporativas. * **Educación:** Grado universitario en RRHH, ADE, Ingeniería Informática, Matemáticas o áreas afines. * **Habilidades Técnicas:** * Manejo avanzado de **Microsoft 365** (Excel). * Conocimientos intermedios en **Power Platform** (Power Automate, Apps o BI). * Capacidad de scripting (**Python o VBA**) y comprensión de flujos de datos (APIs/SQL). * **Idiomas:** Nivel fluido de **español e inglés**. *(Se valorará positivamente tener experiencia previa con Workday, herramientas de ticketing como Jira/ServiceNow y el uso de IA generativa).* --- ### **Beneficios principales** * **Flexibilidad:** Modelo de trabajo híbrido y horarios flexibles. * **Desarrollo profesional:** Acceso a formación continua a través de *Santander Open Academy*. * **Compensación:** Salario competitivo con bonos por desempeño. * **Ventajas financieras:** Condiciones bancarias preferenciales y seguros. * **Bienestar:** Programas de salud (*BeHealthy*), apoyo familiar, servicio de transporte, comedor y acceso a gimnasio/WellHub. --- **¿Te interesa?** Si cumples con el perfil, el banco destaca su compromiso con la igualdad de oportunidades y la inclusión en el proceso de selección.","Empresa final","**Clasificación:** Empresa final **Justificación:** La oferta es publicada directamente por el Banco Santander para integrar al candidato en su propia estructura corporativa (""Grupo Santander""). El puesto se desempeña en sus instalaciones propias (""Ciudad Financiera en Boadilla del Monte""), se trabaja en proyectos internos de transformación de sus procesos globales de ""People & Culture"" y el paquete de beneficios (condiciones bancarias, programas de bienestar, etc.) es exclusivo para empleados de la organización."
"https://www.linkedin.com/comm/jobs/view/4415346344/","Delivery Engineer","Virtual Science AI","España","N/A","N/A","N/A","N/A","","En remoto","","Se aceptan solicitudes","1","Aquí tienes un resumen claro y conciso de la oferta: ### **Puesto: Delivery Engineer** **Empresa:** Virtual Science AI (SaaS/AI enfocado en el sector salud/farmacéutico). **Ubicación:** Empresa global con sede en Londres. #### **Funciones principales:** * Implementar y gestionar herramientas de procesamiento y análisis de datos. * Colaborar con el *Delivery Engineer Lead* en el desarrollo de pipelines de datos y funcionalidades analíticas. * Actuar como puente técnico entre el producto y los equipos no técnicos para asegurar entregas exitosas. * Participar en proyectos secundarios relacionados con la plataforma. #### **Requisitos:** * **Formación:** Grado en Informática o carrera afín (Máster o PhD valorados). * **Experiencia:** Mínimo 1 año desarrollando en **Python** y **JavaScript/TypeScript**. * **Habilidades:** Capacidad de comunicación efectiva y redacción técnica de documentación. * **Valorable:** Experiencia previa en roles de Data Engineering/Data Science, manejo de la nube (AWS, Azure, GCP), Docker, NoSQL y herramientas de BI. #### **Beneficios y entorno:** * Oportunidad de trabajar en una empresa SaaS de rápido crecimiento que colabora con las principales farmacéuticas del mundo. * Enfoque en soluciones de IA que impactan directamente en mejores resultados para los pacientes. * Formar parte de un equipo dinámico, internacional y orientado a resultados.","Empresa final","**Clasificación:** Empresa final **Justificación:** La empresa se describe a sí misma como creadora de su propia plataforma tecnológica (""Virtual Science AI creates cutting-edge software as a service (SaaS) and Artificial Intelligence (AI) solutions""). El candidato se integrará en su equipo interno para trabajar en el desarrollo y entrega de sus propios productos (""delivering Virtual Science AI’s data processing/analysis tools"") y no para ser subcontratado en las instalaciones de un cliente."
"https://www.linkedin.com/comm/jobs/view/4410768966/","Junior AI Engineer - GenAI & LLMs","eXperience IT Solutions","Madrid, Comunidad de Madrid, España","C. de Arturo Soria, 97A, 2ª planta, Cdad. Lineal, 28027 Madrid, Spain","50.2","35.9","False","","Híbrido","Jornada completa","Se aceptan solicitudes","N/A","Aquí tienes el resumen de la oferta para el puesto de **Junior en Data, Analytics & GenAI** en eXperience IT Solutions: ### **Descripción del Puesto** Buscan un perfil junior con interés en inteligencia artificial generativa y analítica avanzada para integrarse en proyectos estratégicos de alto impacto. ### **Funciones principales** * **Evaluación de modelos:** Comparativa de LLMs (calidad, coste y rendimiento). * **Experimentación:** Testing de prompts, monitorización de modelos en producción y optimización de casos de uso. * **Colaboración:** Apoyo a equipos de Data, IAOps y MLOps en el desarrollo de frameworks de seguimiento. ### **Requisitos** * **Experiencia:** 2 años en Data/AI o GenAI. * **Conocimientos técnicos:** Conceptos básicos de *prompt engineering*, interés en testing y familiaridad con entornos Cloud (se valora AWS: Bedrock, SageMaker, Lambda). * **Idiomas:** Nivel de inglés fluido (mínimo B2, imprescindible). ### **Beneficios** * **Estabilidad:** Contrato indefinido. * **Desarrollo:** Participación en proyectos internacionales de IA avanzada y tecnologías punteras. * **Flexibilidad:** Entorno de trabajo flexible y colaborativo. --- **Nota adicional:** La empresa promueve la igualdad de oportunidades y valora especialmente candidaturas con certificado de discapacidad (≥33%).","Outsourcing","**Clasificación:** Outsourcing **Justificación:** La empresa se define explícitamente como una compañía que ""impulsa proyectos estratégicos para clientes de primer nivel"", lo cual es un indicador claro de un modelo de negocio basado en la prestación de servicios a terceros. Además, el hecho de que busquen profesionales para trabajar en ""proyectos internacionales"" y ""proyectos reales"" de dichos clientes confirma que la actividad principal de eXperience IT Solutions es la consultoría técnica y la externalización de servicios."
"https://www.linkedin.com/comm/jobs/view/4409607096/","Data Scientist","SOTEC CONSULTING","Madrid, Comunidad de Madrid, España","C. de Torrelaguna, 77, planta 2, Cdad. Lineal, 28043 Madrid, Spain","50.6","37.6","False","","Híbrido","Jornada completa","Se aceptan solicitudes","2","Aquí tienes un resumen claro y conciso de la oferta: ### **Junior Data Scientist (SOTEC Consulting – Astek Group)** **Información General** * **Modalidad:** 100% remoto. * **Contrato:** Indefinido a tiempo completo. * **Salario:** A valorar según perfil. --- ### **Funciones principales** * Desarrollo de modelos estadísticos, Machine Learning e IA (NLP, predicción, detección de anomalías). * Realización de *feature engineering*, validación de modelos y análisis de robustez. * Implementación de *pipelines* de ML reproducibles. * Documentación, explicabilidad (SHAP) y gobernanza de modelos en entornos regulados. * Traducción de objetivos de negocio a modelos técnicos y presentación de resultados. ### **Requisitos** * **Formación:** Grado o máster en áreas cuantitativas (Informática, Matemáticas, Estadística, Física, Ingeniería, etc.). * **Experiencia:** Al menos 2 años en puestos similares. * **Habilidades técnicas:** * Dominio sólido de **Python** (código limpio, testing). * Manejo de **SQL** y librerías de datos (Pandas, Numpy, Scikit-learn). * Familiaridad con frameworks de Deep Learning (PyTorch o TensorFlow). * Conocimientos avanzados de álgebra, estadística y metodología experimental. * **Idioma:** Nivel profesional de inglés. *Se valorará positivamente:* Experiencia en MLOps (Docker, MLflow), entornos Cloud (AWS/Azure/GCP), Databricks, IA Generativa/LLMs y conocimientos en el sector de Banca de Inversión (riesgos, métricas financieras). ### **Beneficios** * Participación en proyectos innovadores de alto impacto. * Entorno colaborativo y multidisciplinar. * Planes de desarrollo profesional y formación continua. * Empresa comprometida con la igualdad de oportunidades y diversidad.","Outsourcing","**Clasificación:** Outsourcing **Justificación:** SOTEC Consulting es una consultora tecnológica que presta servicios a terceros. La oferta menciona explícitamente que el candidato trabajará en ""casos de uso de SCIB"" (Santander Corporate & Investment Banking), lo que indica que el empleado estará asignado a un proyecto para un cliente externo en el sector bancario, bajo la estructura de servicios profesionales de consultoría."
